,1,2,3,4,5,6,7,8,9
250,6:00p,Charlotte Bobcats,98,Miami Heat,99,Box Score,,"19,617",
251,6:00p,Golden State Warriors,115,Sacramento Kings,113,Box Score,,"15,588",
252,7:00p,Minnesota Timberwolves,103,Oklahoma City Thunder,113,Box Score,,"18,203",
253,7:30p,New Orleans Pelicans,103,New York Knicks,99,Box Score,,"19,812",
254,9:30p,Portland Trail Blazers,114,Los Angeles Lakers,108,Box Score,,"18,997",
255,7:00p,Orlando Magic,80,Washington Wizards,98,Box Score,,"12,809",
256,8:00p,New Orleans Pelicans,131,Chicago Bulls,128,Box Score,3OT,"21,615",
257,8:30p,Atlanta Hawks,100,San Antonio Spurs,102,Box Score,,"17,318",
258,9:00p,Houston Rockets,103,Utah Jazz,109,Box Score,,"15,801",
259,10:00p,Indiana Pacers,102,Portland Trail Blazers,106,Box Score,,"19,023",
260,7:00p,Orlando Magic,125,Philadelphia 76ers,126,Box Score,2OT,"10,061",
261,7:30p,Milwaukee Bucks,100,Boston Celtics,108,Box Score,,"16,649",
262,7:30p,Denver Nuggets,111,Brooklyn Nets,87,Box Score,,"17,732",
263,7:30p,Detroit Pistons,107,Miami Heat,97,Box Score,,"19,741",
264,8:00p,Phoenix Suns,91,Memphis Grizzlies,110,Box Score,,"15,069",
265,8:30p,Charlotte Bobcats,82,Dallas Mavericks,89,Box Score,,"19,612",
266,10:00p,Oklahoma City Thunder,97,Sacramento Kings,95,Box Score,,"15,089",
267,10:30p,Toronto Raptors,103,Golden State Warriors,112,Box Score,,"19,596",
268,7:00p,Denver Nuggets,88,Cleveland Cavaliers,98,Box Score,,"14,642",
269,7:30p,Los Angeles Clippers,97,Atlanta Hawks,107,Box Score,,"12,020",
270,8:00p,Phoenix Suns,97,Houston Rockets,88,Box Score,,"18,151",
271,8:00p,Detroit Pistons,105,Milwaukee Bucks,98,Box Score,,"12,835",
272,8:00p,Dallas Mavericks,100,New Orleans Pelicans,97,Box Score,,"14,524",
273,9:00p,Indiana Pacers,95,Utah Jazz,86,Box Score,,"15,519",
274,10:00p,Oklahoma City Thunder,104,Portland Trail Blazers,111,Box Score,,"18,950",
275,7:00p,New York Knicks,113,Brooklyn Nets,83,Box Score,,"17,732",
276,8:00p,Los Angeles Clippers,101,Memphis Grizzlies,81,Box Score,,"15,112",
277,9:30p,Miami Heat,87,Chicago Bulls,107,Box Score,,"22,125",
278,7:00p,Philadelphia 76ers,88,Charlotte Bobcats,105,Box Score,,"14,088",
279,7:00p,Milwaukee Bucks,109,Washington Wizards,105,Box Score,OT,"18,194",
280,7:30p,Cleveland Cavaliers,89,Atlanta Hawks,108,Box Score,,"13,282",
281,7:30p,Denver Nuggets,98,Boston Celtics,106,Box Score,,"17,263",
282,7:30p,Orlando Magic,83,New York Knicks,121,Box Score,,"19,812",
283,8:00p,Golden State Warriors,83,Houston Rockets,105,Box Score,,"18,145",
284,8:00p,Oklahoma City Thunder,109,New Orleans Pelicans,95,Box Score,,"17,694",
285,9:00p,Toronto Raptors,97,Phoenix Suns,106,Box Score,,"12,672",
